Department,Appointment Type,Year,Count
A&S,Tenured,FALL 2023,3.00
A&S,Tenured,FALL 2022,2.00
A&S,Tenured,FALL 2021,3.16
A&S,Tenured,FALL 2020,2.00
A&S,Tenured,FALL 2019,2.00
A&S,Tenured,FALL 2018,3.00
A&S,Tenured,FALL 2017,2.00
A&S,Tenured,FALL 2016,2.00
A&S,Tenured,FALL 2015,2.00
A&S,Tenured,FALL 2014,0.66
A&S,Tenured,FALL 2013,1.00
A&S,Tenured,FALL 2012,2.00
A&S,Tenured,FALL 2011,0.66
A&S,Tenured,FALL 2010,3.66
A&S,Tenured,FALL 2009,3.00
A&S,Tenured,FALL 2008,2.00
A&S,Tenured,FALL 2007,2.83
A&S,Tenured,FALL 2006,2.66
A&S,Tenured,FALL 2005,2.67
A&S,Tenured,FALL 2004,2.67
A&S,Tenured,FALL 2003,3.33
A&S,Tenured,FALL 2002,2.33
A&S,Tenured,FALL 2001,3.67
A&S,Tenure-Track,FALL 2023,0.00
A&S,Tenure-Track,FALL 2022,1.67
A&S,Tenure-Track,FALL 2021,3.08
A&S,Tenure-Track,FALL 2020,3.33
A&S,Tenure-Track,FALL 2019,3.00
A&S,Tenure-Track,FALL 2018,3.00
A&S,Tenure-Track,FALL 2017,3.00
A&S,Tenure-Track,FALL 2016,3.00
A&S,Tenure-Track,FALL 2015,2.00
A&S,Tenure-Track,FALL 2014,3.00
A&S,Tenure-Track,FALL 2013,2.00
A&S,Tenure-Track,FALL 2012,1.00
A&S,Tenure-Track,FALL 2011,1.00
A&S,Tenure-Track,FALL 2010,1.00
A&S,Tenure-Track,FALL 2009,1.00
A&S,Tenure-Track,FALL 2008,1.00
A&S,Tenure-Track,FALL 2007,1.66
A&S,Tenure-Track,FALL 2006,1.00
A&S,Tenure-Track,FALL 2005,1.67
A&S,Tenure-Track,FALL 2004,1.00
A&S,Tenure-Track,FALL 2003,0.00
A&S,Tenure-Track,FALL 2002,1.00
A&S,Tenure-Track,FALL 2001,0.67
A&S,Visiting,FALL 2023,1.00
A&S,Visiting,FALL 2022,0.00
A&S,Visiting,FALL 2021,0.00
A&S,Visiting,FALL 2020,1.00
A&S,Visiting,FALL 2019,1.00
A&S,Visiting,FALL 2018,0.00
A&S,Visiting,FALL 2017,0.00
A&S,Visiting,FALL 2016,0.00
A&S,Visiting,FALL 2015,1.00
A&S,Visiting,FALL 2014,1.00
A&S,Visiting,FALL 2013,2.00
A&S,Visiting,FALL 2012,3.00
A&S,Visiting,FALL 2011,3.00
A&S,Visiting,FALL 2010,1.00
A&S,Visiting,FALL 2009,1.00
A&S,Visiting,FALL 2008,2.33
A&S,Visiting,FALL 2007,1.00
A&S,Visiting,FALL 2006,2.00
A&S,Visiting,FALL 2005,1.00
A&S,Visiting,FALL 2004,1.00
A&S,Visiting,FALL 2003,2.00
A&S,Visiting,FALL 2002,1.00
A&S,Visiting,FALL 2001,0.00
A&S,Adjunct,FALL 2023,2.00
A&S,Adjunct,FALL 2022,1.33
A&S,Adjunct,FALL 2021,1.00
A&S,Adjunct,FALL 2020,1.00
A&S,Adjunct,FALL 2019,0.00
A&S,Adjunct,FALL 2018,0.00
A&S,Adjunct,FALL 2017,0.00
A&S,Adjunct,FALL 2016,0.00
A&S,Adjunct,FALL 2015,0.00
A&S,Adjunct,FALL 2014,0.00
A&S,Adjunct,FALL 2013,0.00
A&S,Adjunct,FALL 2012,0.00
A&S,Adjunct,FALL 2011,0.00
A&S,Adjunct,FALL 2010,0.00
A&S,Adjunct,FALL 2009,0.00
A&S,Adjunct,FALL 2008,0.00
A&S,Adjunct,FALL 2007,0.00
A&S,Adjunct,FALL 2006,0.00
A&S,Adjunct,FALL 2005,0.00
A&S,Adjunct,FALL 2004,1.00
A&S,Adjunct,FALL 2003,0.33
A&S,Adjunct,FALL 2002,0.33
A&S,Adjunct,FALL 2001,1.00
ART*,Tenured,FALL 2023,2.00
ART*,Tenured,FALL 2022,0.00
ART*,Tenured,FALL 2021,1.00
ART*,Tenured,FALL 2020,1.00
ART*,Tenured,FALL 2019,3.00
ART*,Tenured,FALL 2018,3.33
ART*,Tenured,FALL 2017,3.08
ART*,Tenured,FALL 2016,3.00
ART*,Tenured,FALL 2015,2.00
ART*,Tenured,FALL 2014,2.66
ART*,Tenured,FALL 2013,1.83
ART*,Tenured,FALL 2012,3.00
ART*,Tenured,FALL 2011,2.66
ART*,Tenured,FALL 2010,1.83
ART*,Tenured,FALL 2009,3.83
ART*,Tenured,FALL 2008,3.00
ART*,Tenured,FALL 2007,2.16
ART*,Tenured,FALL 2006,2.00
ART*,Tenured,FALL 2005,3.83
ART*,Tenured,FALL 2004,4.00
ART*,Tenured,FALL 2003,5.17
ART*,Tenured,FALL 2002,4.33
ART*,Tenured,FALL 2001,4.50
ART*,Tenure-Track,FALL 2023,1.67
ART*,Tenure-Track,FALL 2022,2.00
ART*,Tenure-Track,FALL 2021,3.16
ART*,Tenure-Track,FALL 2020,2.66
ART*,Tenure-Track,FALL 2019,1.00
ART*,Tenure-Track,FALL 2018,1.00
ART*,Tenure-Track,FALL 2017,1.00
ART*,Tenure-Track,FALL 2016,1.00
ART*,Tenure-Track,FALL 2015,1.00
ART*,Tenure-Track,FALL 2014,0.00
ART*,Tenure-Track,FALL 2013,1.00
ART*,Tenure-Track,FALL 2012,1.00
ART*,Tenure-Track,FALL 2011,0.66
ART*,Tenure-Track,FALL 2010,1.00
ART*,Tenure-Track,FALL 2009,1.33
ART*,Tenure-Track,FALL 2008,3.00
ART*,Tenure-Track,FALL 2007,2.66
ART*,Tenure-Track,FALL 2006,3.00
ART*,Tenure-Track,FALL 2005,2.00
ART*,Tenure-Track,FALL 2004,2.00
ART*,Tenure-Track,FALL 2003,0.00
ART*,Tenure-Track,FALL 2002,0.00
ART*,Tenure-Track,FALL 2001,0.00
ART*,Visiting,FALL 2023,0.00
ART*,Visiting,FALL 2022,0.00
ART*,Visiting,FALL 2021,0.00
ART*,Visiting,FALL 2020,0.00
ART*,Visiting,FALL 2019,0.00
ART*,Visiting,FALL 2018,0.00
ART*,Visiting,FALL 2017,0.00
ART*,Visiting,FALL 2016,0.00
ART*,Visiting,FALL 2015,0.00
ART*,Visiting,FALL 2014,1.00
ART*,Visiting,FALL 2013,1.00
ART*,Visiting,FALL 2012,0.00
ART*,Visiting,FALL 2011,0.00
ART*,Visiting,FALL 2010,0.00
ART*,Visiting,FALL 2009,0.00
ART*,Visiting,FALL 2008,1.00
ART*,Visiting,FALL 2007,1.00
ART*,Visiting,FALL 2006,2.00
ART*,Visiting,FALL 2005,1.00
ART*,Visiting,FALL 2004,0.00
ART*,Visiting,FALL 2003,1.33
ART*,Visiting,FALL 2002,2.00
ART*,Visiting,FALL 2001,2.00
ART*,Adjunct,FALL 2023,0.00
ART*,Adjunct,FALL 2022,1.33
ART*,Adjunct,FALL 2021,1.00
ART*,Adjunct,FALL 2020,0.00
ART*,Adjunct,FALL 2019,0.00
ART*,Adjunct,FALL 2018,0.00
ART*,Adjunct,FALL 2017,0.00
ART*,Adjunct,FALL 2016,0.33
ART*,Adjunct,FALL 2015,0.66
ART*,Adjunct,FALL 2014,0.00
ART*,Adjunct,FALL 2013,0.00
ART*,Adjunct,FALL 2012,0.00
ART*,Adjunct,FALL 2011,0.33
ART*,Adjunct,FALL 2010,1.00
ART*,Adjunct,FALL 2009,0.33
ART*,Adjunct,FALL 2008,0.00
ART*,Adjunct,FALL 2007,0.33
ART*,Adjunct,FALL 2006,0.00
ART*,Adjunct,FALL 2005,0.00
ART*,Adjunct,FALL 2004,0.33
ART*,Adjunct,FALL 2003,0.00
ART*,Adjunct,FALL 2002,0.00
ART*,Adjunct,FALL 2001,0.17
ARTH*,Tenured,FALL 2023,1.17
ARTH*,Tenured,FALL 2022,1.00
ARTH*,Tenured,FALL 2021,0.00
ARTH*,Tenured,FALL 2020,1.00
ARTH*,Tenured,FALL 2019,1.00
ARTH*,Tenured,FALL 2018,1.00
ARTH*,Tenured,FALL 2017,1.00
ARTH*,Tenured,FALL 2016,1.00
ARTH*,Tenured,FALL 2015,1.00
ARTH*,Tenured,FALL 2014,0.00
ARTH*,Tenured,FALL 2013,1.00
ARTH*,Tenured,FALL 2012,1.33
ARTH*,Tenured,FALL 2011,1.00
ARTH*,Tenured,FALL 2010,1.33
ARTH*,Tenure-Track,FALL 2023,1.00
ARTH*,Tenure-Track,FALL 2022,1.00
ARTH*,Tenure-Track,FALL 2021,1.00
ARTH*,Tenure-Track,FALL 2020,1.00
ARTH*,Tenure-Track,FALL 2019,2.00
ARTH*,Tenure-Track,FALL 2018,1.00
ARTH*,Tenure-Track,FALL 2017,0.00
ARTH*,Tenure-Track,FALL 2016,0.00
ARTH*,Tenure-Track,FALL 2015,0.00
ARTH*,Tenure-Track,FALL 2014,0.00
ARTH*,Tenure-Track,FALL 2013,0.00
ARTH*,Tenure-Track,FALL 2012,0.00
ARTH*,Tenure-Track,FALL 2011,0.00
ARTH*,Tenure-Track,FALL 2010,0.00
ARTH*,Visiting,FALL 2023,0.00
ARTH*,Visiting,FALL 2022,0.00
ARTH*,Visiting,FALL 2021,0.00
ARTH*,Visiting,FALL 2020,0.00
ARTH*,Visiting,FALL 2019,0.00
ARTH*,Visiting,FALL 2018,0.00
ARTH*,Visiting,FALL 2017,0.00
ARTH*,Visiting,FALL 2016,0.00
ARTH*,Visiting,FALL 2015,0.00
ARTH*,Visiting,FALL 2014,1.00
ARTH*,Visiting,FALL 2013,0.00
ARTH*,Visiting,FALL 2012,0.00
ARTH*,Visiting,FALL 2011,0.66
ARTH*,Visiting,FALL 2010,0.00
ARTH*,Adjunct,FALL 2023,0.00
ARTH*,Adjunct,FALL 2022,0.00
ARTH*,Adjunct,FALL 2021,0.66
ARTH*,Adjunct,FALL 2020,0.00
ARTH*,Adjunct,FALL 2019,0.00
ARTH*,Adjunct,FALL 2018,0.00
ARTH*,Adjunct,FALL 2017,0.66
ARTH*,Adjunct,FALL 2016,0.00
ARTH*,Adjunct,FALL 2015,0.00
ARTH*,Adjunct,FALL 2014,0.66
ARTH*,Adjunct,FALL 2013,0.66
ARTH*,Adjunct,FALL 2012,0.00
ARTH*,Adjunct,FALL 2011,0.00
ARTH*,Adjunct,FALL 2010,0.33
BIOL,Tenured,FALL 2023,6.33
BIOL,Tenured,FALL 2022,6.00
BIOL,Tenured,FALL 2021,5.33
BIOL,Tenured,FALL 2020,6.50
BIOL,Tenured,FALL 2019,6.75
BIOL,Tenured,FALL 2018,7.16
BIOL,Tenured,FALL 2017,7.50
BIOL,Tenured,FALL 2016,6.00
BIOL,Tenured,FALL 2015,6.66
BIOL,Tenured,FALL 2014,6.16
BIOL,Tenured,FALL 2013,7.16
BIOL,Tenured,FALL 2012,5.16
BIOL,Tenured,FALL 2011,5.33
BIOL,Tenured,FALL 2010,6.16
BIOL,Tenured,FALL 2009,5.66
BIOL,Tenured,FALL 2008,6.33
BIOL,Tenured,FALL 2007,4.16
BIOL,Tenured,FALL 2006,6.66
BIOL,Tenured,FALL 2005,5.33
BIOL,Tenured,FALL 2004,5.17
BIOL,Tenured,FALL 2003,5.17
BIOL,Tenured,FALL 2002,3.67
BIOL,Tenured,FALL 2001,5.00
BIOL,Tenure-Track,FALL 2023,0.00
BIOL,Tenure-Track,FALL 2022,3.00
BIOL,Tenure-Track,FALL 2021,3.00
BIOL,Tenure-Track,FALL 2020,2.50
BIOL,Tenure-Track,FALL 2019,2.08
BIOL,Tenure-Track,FALL 2018,2.00
BIOL,Tenure-Track,FALL 2017,2.00
BIOL,Tenure-Track,FALL 2016,2.00
BIOL,Tenure-Track,FALL 2015,1.00
BIOL,Tenure-Track,FALL 2014,0.67
BIOL,Tenure-Track,FALL 2013,1.00
BIOL,Tenure-Track,FALL 2012,3.00
BIOL,Tenure-Track,FALL 2011,2.50
BIOL,Tenure-Track,FALL 2010,3.00
BIOL,Tenure-Track,FALL 2009,2.66
BIOL,Tenure-Track,FALL 2008,2.50
BIOL,Tenure-Track,FALL 2007,1.50
BIOL,Tenure-Track,FALL 2006,2.83
BIOL,Tenure-Track,FALL 2005,3.67
BIOL,Tenure-Track,FALL 2004,2.83
BIOL,Tenure-Track,FALL 2003,3.00
BIOL,Tenure-Track,FALL 2002,2.67
BIOL,Tenure-Track,FALL 2001,1.83
BIOL,Visiting,FALL 2023,2.00
BIOL,Visiting,FALL 2022,0.00
BIOL,Visiting,FALL 2021,0.00
BIOL,Visiting,FALL 2020,0.33
BIOL,Visiting,FALL 2019,0.00
BIOL,Visiting,FALL 2018,0.00
BIOL,Visiting,FALL 2017,0.00
BIOL,Visiting,FALL 2016,1.00
BIOL,Visiting,FALL 2015,1.00
BIOL,Visiting,FALL 2014,1.00
BIOL,Visiting,FALL 2013,0.00
BIOL,Visiting,FALL 2012,0.50
BIOL,Visiting,FALL 2011,0.00
BIOL,Visiting,FALL 2010,0.00
BIOL,Visiting,FALL 2009,0.00
BIOL,Visiting,FALL 2008,0.66
BIOL,Visiting,FALL 2007,1.00
BIOL,Visiting,FALL 2006,0.83
BIOL,Visiting,FALL 2005,0.00
BIOL,Visiting,FALL 2004,0.00
BIOL,Visiting,FALL 2003,0.00
BIOL,Visiting,FALL 2002,1.00
BIOL,Visiting,FALL 2001,1.00
BIOL,Adjunct,FALL 2023,0.00
BIOL,Adjunct,FALL 2022,1.00
BIOL,Adjunct,FALL 2021,1.00
BIOL,Adjunct,FALL 2020,0.00
BIOL,Adjunct,FALL 2019,0.00
BIOL,Adjunct,FALL 2018,0.00
BIOL,Adjunct,FALL 2017,0.33
BIOL,Adjunct,FALL 2016,0.33
BIOL,Adjunct,FALL 2015,0.50
BIOL,Adjunct,FALL 2014,0.50
BIOL,Adjunct,FALL 2013,0.50
BIOL,Adjunct,FALL 2012,0.50
BIOL,Adjunct,FALL 2011,0.50
BIOL,Adjunct,FALL 2010,1.16
BIOL,Adjunct,FALL 2009,0.83
BIOL,Adjunct,FALL 2008,1.00
BIOL,Adjunct,FALL 2007,2.50
BIOL,Adjunct,FALL 2006,0.83
BIOL,Adjunct,FALL 2005,0.83
BIOL,Adjunct,FALL 2004,0.83
BIOL,Adjunct,FALL 2003,0.50
BIOL,Adjunct,FALL 2002,0.67
BIOL,Adjunct,FALL 2001,0.67
CHEM,Tenured,FALL 2023,5.17
CHEM,Tenured,FALL 2022,4.33
CHEM,Tenured,FALL 2021,7.16
CHEM,Tenured,FALL 2020,7.00
CHEM,Tenured,FALL 2019,7.50
CHEM,Tenured,FALL 2018,5.33
CHEM,Tenured,FALL 2017,5.33
CHEM,Tenured,FALL 2016,4.00
CHEM,Tenured,FALL 2015,5.41
CHEM,Tenured,FALL 2014,5.67
CHEM,Tenured,FALL 2013,5.00
CHEM,Tenured,FALL 2012,5.50
CHEM,Tenured,FALL 2011,5.66
CHEM,Tenured,FALL 2010,4.16
CHEM,Tenured,FALL 2009,2.83
CHEM,Tenured,FALL 2008,3.83
CHEM,Tenured,FALL 2007,5.25
CHEM,Tenured,FALL 2006,4.75
CHEM,Tenured,FALL 2005,3.67
CHEM,Tenured,FALL 2004,4.08
CHEM,Tenured,FALL 2003,3.75
CHEM,Tenured,FALL 2002,3.67
CHEM,Tenured,FALL 2001,5.17
CHEM,Tenure-Track,FALL 2023,0.00
CHEM,Tenure-Track,FALL 2022,0.00
CHEM,Tenure-Track,FALL 2021,0.00
CHEM,Tenure-Track,FALL 2020,0.00
CHEM,Tenure-Track,FALL 2019,0.00
CHEM,Tenure-Track,FALL 2018,1.00
CHEM,Tenure-Track,FALL 2017,1.00
CHEM,Tenure-Track,FALL 2016,0.83
CHEM,Tenure-Track,FALL 2015,1.00
CHEM,Tenure-Track,FALL 2014,0.00
CHEM,Tenure-Track,FALL 2013,0.00
CHEM,Tenure-Track,FALL 2012,1.00
CHEM,Tenure-Track,FALL 2011,1.00
CHEM,Tenure-Track,FALL 2010,2.66
CHEM,Tenure-Track,FALL 2009,2.66
CHEM,Tenure-Track,FALL 2008,2.66
CHEM,Tenure-Track,FALL 2007,2.00
CHEM,Tenure-Track,FALL 2006,1.83
CHEM,Tenure-Track,FALL 2005,2.17
CHEM,Tenure-Track,FALL 2004,0.00
CHEM,Tenure-Track,FALL 2003,1.00
CHEM,Tenure-Track,FALL 2002,1.00
CHEM,Tenure-Track,FALL 2001,1.00
CHEM,Visiting,FALL 2023,1.00
CHEM,Visiting,FALL 2022,0.00
CHEM,Visiting,FALL 2021,0.00
CHEM,Visiting,FALL 2020,1.00
CHEM,Visiting,FALL 2019,0.00
CHEM,Visiting,FALL 2018,1.00
CHEM,Visiting,FALL 2017,1.00
CHEM,Visiting,FALL 2016,0.83
CHEM,Visiting,FALL 2015,0.00
CHEM,Visiting,FALL 2014,0.83
CHEM,Visiting,FALL 2013,0.00
CHEM,Visiting,FALL 2012,0.83
CHEM,Visiting,FALL 2011,0.00
CHEM,Visiting,FALL 2010,0.00
CHEM,Visiting,FALL 2009,1.00
CHEM,Visiting,FALL 2008,0.00
CHEM,Visiting,FALL 2007,0.00
CHEM,Visiting,FALL 2006,0.00
CHEM,Visiting,FALL 2005,2.00
CHEM,Visiting,FALL 2004,2.00
CHEM,Visiting,FALL 2003,2.00
CHEM,Visiting,FALL 2002,1.00
CHEM,Visiting,FALL 2001,1.00
CHEM,Adjunct,FALL 2023,0.00
CHEM,Adjunct,FALL 2022,1.83
CHEM,Adjunct,FALL 2021,1.00
CHEM,Adjunct,FALL 2020,0.33
CHEM,Adjunct,FALL 2019,0.00
CHEM,Adjunct,FALL 2018,0.00
CHEM,Adjunct,FALL 2017,0.00
CHEM,Adjunct,FALL 2016,0.00
CHEM,Adjunct,FALL 2015,0.00
CHEM,Adjunct,FALL 2014,0.00
CHEM,Adjunct,FALL 2013,0.00
CHEM,Adjunct,FALL 2012,0.00
CHEM,Adjunct,FALL 2011,0.00
CHEM,Adjunct,FALL 2010,1.00
CHEM,Adjunct,FALL 2009,0.83
CHEM,Adjunct,FALL 2008,0.16
CHEM,Adjunct,FALL 2007,0.08
CHEM,Adjunct,FALL 2006,0.00
CHEM,Adjunct,FALL 2005,0.00
CHEM,Adjunct,FALL 2004,0.00
CHEM,Adjunct,FALL 2003,0.00
CHEM,Adjunct,FALL 2002,0.00
CHEM,Adjunct,FALL 2001,0.00
COMM/SPCH,Tenured,FALL 2023,2.00
COMM/SPCH,Tenured,FALL 2022,1.00
COMM/SPCH,Tenured,FALL 2021,1.00
COMM/SPCH,Tenured,FALL 2020,1.33
COMM/SPCH,Tenured,FALL 2019,1.00
COMM/SPCH,Tenured,FALL 2018,6.33
COMM/SPCH,Tenured,FALL 2017,2.00
COMM/SPCH,Tenured,FALL 2016,1.00
COMM/SPCH,Tenured,FALL 2015,1.00
COMM/SPCH,Tenured,FALL 2014,1.00
COMM/SPCH,Tenured,FALL 2013,1.00
COMM/SPCH,Tenured,FALL 2012,1.00
COMM/SPCH,Tenured,FALL 2011,1.00
COMM/SPCH,Tenured,FALL 2010,1.00
COMM/SPCH,Tenured,FALL 2009,1.00
COMM/SPCH,Tenured,FALL 2008,0.00
COMM/SPCH,Tenured,FALL 2007,0.00
COMM/SPCH,Tenured,FALL 2006,0.00
COMM/SPCH,Tenured,FALL 2005,0.00
COMM/SPCH,Tenured,FALL 2004,1.33
COMM/SPCH,Tenured,FALL 2003,1.00
COMM/SPCH,Tenured,FALL 2002,1.00
COMM/SPCH,Tenured,FALL 2001,1.00
COMM/SPCH,Tenure-Track,FALL 2023,2.00
COMM/SPCH,Tenure-Track,FALL 2022,2.67
COMM/SPCH,Tenure-Track,FALL 2021,2.00
COMM/SPCH,Tenure-Track,FALL 2020,2.66
COMM/SPCH,Tenure-Track,FALL 2019,3.00
COMM/SPCH,Tenure-Track,FALL 2018,0.00
COMM/SPCH,Tenure-Track,FALL 2017,2.00
COMM/SPCH,Tenure-Track,FALL 2016,2.00
COMM/SPCH,Tenure-Track,FALL 2015,2.00
COMM/SPCH,Tenure-Track,FALL 2014,2.00
COMM/SPCH,Tenure-Track,FALL 2013,2.00
COMM/SPCH,Tenure-Track,FALL 2012,2.00
COMM/SPCH,Tenure-Track,FALL 2011,1.66
COMM/SPCH,Tenure-Track,FALL 2010,1.00
COMM/SPCH,Tenure-Track,FALL 2009,1.00
COMM/SPCH,Tenure-Track,FALL 2008,3.33
COMM/SPCH,Tenure-Track,FALL 2007,2.00
COMM/SPCH,Tenure-Track,FALL 2006,2.00
COMM/SPCH,Tenure-Track,FALL 2005,1.67
COMM/SPCH,Tenure-Track,FALL 2004,1.67
COMM/SPCH,Tenure-Track,FALL 2003,2.00
COMM/SPCH,Tenure-Track,FALL 2002,0.00
COMM/SPCH,Tenure-Track,FALL 2001,0.00
COMM/SPCH,Visiting,FALL 2023,0.00
COMM/SPCH,Visiting,FALL 2022,1.00
COMM/SPCH,Visiting,FALL 2021,1.33
COMM/SPCH,Visiting,FALL 2020,2.00
COMM/SPCH,Visiting,FALL 2019,2.00
COMM/SPCH,Visiting,FALL 2018,1.00
COMM/SPCH,Visiting,FALL 2017,2.00
COMM/SPCH,Visiting,FALL 2016,2.00
COMM/SPCH,Visiting,FALL 2015,2.00
COMM/SPCH,Visiting,FALL 2014,1.00
COMM/SPCH,Visiting,FALL 2013,1.00
COMM/SPCH,Visiting,FALL 2012,1.00
COMM/SPCH,Visiting,FALL 2011,1.00
COMM/SPCH,Visiting,FALL 2010,2.33
COMM/SPCH,Visiting,FALL 2009,2.00
COMM/SPCH,Visiting,FALL 2008,1.33
COMM/SPCH,Visiting,FALL 2007,1.33
COMM/SPCH,Visiting,FALL 2006,2.33
COMM/SPCH,Visiting,FALL 2005,2.33
COMM/SPCH,Visiting,FALL 2004,1.00
COMM/SPCH,Visiting,FALL 2003,1.00
COMM/SPCH,Visiting,FALL 2002,3.00
COMM/SPCH,Visiting,FALL 2001,3.33
COMM/SPCH,Adjunct,FALL 2023,3.33
COMM/SPCH,Adjunct,FALL 2022,2.00
COMM/SPCH,Adjunct,FALL 2021,2.00
COMM/SPCH,Adjunct,FALL 2020,0.33
COMM/SPCH,Adjunct,FALL 2019,0.00
COMM/SPCH,Adjunct,FALL 2018,0.00
COMM/SPCH,Adjunct,FALL 2017,0.00
COMM/SPCH,Adjunct,FALL 2016,0.00
COMM/SPCH,Adjunct,FALL 2015,0.00
COMM/SPCH,Adjunct,FALL 2014,0.66
COMM/SPCH,Adjunct,FALL 2013,0.66
COMM/SPCH,Adjunct,FALL 2012,1.33
COMM/SPCH,Adjunct,FALL 2011,0.66
COMM/SPCH,Adjunct,FALL 2010,0.00
COMM/SPCH,Adjunct,FALL 2009,0.66
COMM/SPCH,Adjunct,FALL 2008,0.66
COMM/SPCH,Adjunct,FALL 2007,1.66
COMM/SPCH,Adjunct,FALL 2006,0.66
COMM/SPCH,Adjunct,FALL 2005,0.67
COMM/SPCH,Adjunct,FALL 2004,0.67
COMM/SPCH,Adjunct,FALL 2003,0.67
COMM/SPCH,Adjunct,FALL 2002,0.33
COMM/SPCH,Adjunct,FALL 2001,0.00
E&M,Tenured,FALL 2023,3.00
E&M,Tenured,FALL 2022,4.00
E&M,Tenured,FALL 2021,5.33
E&M,Tenured,FALL 2020,6.16
E&M,Tenured,FALL 2019,6.33
E&M,Tenured,FALL 2018,6.33
E&M,Tenured,FALL 2017,5.00
E&M,Tenured,FALL 2016,5.00
E&M,Tenured,FALL 2015,4.00
E&M,Tenured,FALL 2014,2.66
E&M,Tenured,FALL 2013,5.00
E&M,Tenured,FALL 2012,5.16
E&M,Tenured,FALL 2011,5.00
E&M,Tenured,FALL 2010,4.33
E&M,Tenured,FALL 2009,5.16
E&M,Tenured,FALL 2008,5.33
E&M,Tenured,FALL 2007,4.33
E&M,Tenured,FALL 2006,6.00
E&M,Tenured,FALL 2005,7.00
E&M,Tenured,FALL 2004,7.33
E&M,Tenured,FALL 2003,7.33
E&M,Tenured,FALL 2002,6.42
E&M,Tenured,FALL 2001,6.17
E&M,Tenure-Track,FALL 2023,2.83
E&M,Tenure-Track,FALL 2022,2.67
E&M,Tenure-Track,FALL 2021,1.66
E&M,Tenure-Track,FALL 2020,0.66
E&M,Tenure-Track,FALL 2019,1.00
E&M,Tenure-Track,FALL 2018,2.00
E&M,Tenure-Track,FALL 2017,2.00
E&M,Tenure-Track,FALL 2016,2.00
E&M,Tenure-Track,FALL 2015,2.00
E&M,Tenure-Track,FALL 2014,1.00
E&M,Tenure-Track,FALL 2013,1.00
E&M,Tenure-Track,FALL 2012,2.00
E&M,Tenure-Track,FALL 2011,1.66
E&M,Tenure-Track,FALL 2010,4.00
